train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,winner,winner_margin,winner_margin_fraction
hESC,hHep,2,4.0,0.0,2.0,baseline,2.0,0.5
hESC,mHSC-L,2,4.0,2.0,0.0,baseline,2.0,0.5
hHep,mHSC-GM,2,4.0,2.0,0.0,baseline,2.0,0.5
hHep,mHSC-L,2,4.0,2.0,0.0,baseline,2.0,0.5
mHSC-E,hESC,2,4.0,2.0,0.0,baseline,2.0,0.5
mHSC-E,mHSC-GM,2,4.0,2.0,0.0,baseline,2.0,0.5
mHSC-L,mHSC-GM,2,4.0,0.0,2.0,baseline,2.0,0.5
hHep,hESC,2,2.0,4.0,0.0,minus,2.0,0.5
hHep,mDC,2,0.0,4.0,2.0,minus,2.0,0.5
mDC,hHep,2,2.0,4.0,0.0,minus,2.0,0.5
mDC,mHSC-E,2,0.0,4.0,2.0,minus,2.0,0.5
mHSC-E,hHep,2,0.0,4.0,2.0,minus,2.0,0.5
mHSC-GM,hHep,2,2.0,4.0,0.0,minus,2.0,0.5
hHep,mHSC-E,2,1.0,4.0,1.0,minus,3.0,0.75
mHSC-E,mHSC-L,2,1.0,4.0,1.0,minus,3.0,0.75
hESC,mHSC-E,2,2.0,2.0,2.0,mixed,0.0,0.0
mDC,mHSC-GM,2,3.0,0.0,3.0,mixed,0.0,0.0
mDC,mHSC-L,2,3.0,0.0,3.0,mixed,0.0,0.0
mHSC-GM,hESC,2,0.0,3.0,3.0,mixed,0.0,0.0
mHSC-GM,mHSC-L,2,0.0,3.0,3.0,mixed,0.0,0.0
mHSC-L,hESC,2,0.0,3.0,3.0,mixed,0.0,0.0
mHSC-L,mDC,2,3.0,0.0,3.0,mixed,0.0,0.0
mDC,hESC,2,1.0,2.0,3.0,scgpt_human,1.0,0.25
hESC,mDC,2,2.0,0.0,4.0,scgpt_human,2.0,0.5
hESC,mHSC-GM,2,2.0,0.0,4.0,scgpt_human,2.0,0.5
mHSC-E,mDC,2,2.0,0.0,4.0,scgpt_human,2.0,0.5
mHSC-GM,mDC,2,2.0,0.0,4.0,scgpt_human,2.0,0.5
mHSC-GM,mHSC-E,2,2.0,0.0,4.0,scgpt_human,2.0,0.5
mHSC-L,hHep,2,2.0,0.0,4.0,scgpt_human,2.0,0.5
mHSC-L,mHSC-E,2,2.0,0.0,4.0,scgpt_human,2.0,0.5
